GEO.id2,HC01_VC03,HC01_VC35,HC01_VC42,HC01_VC51,HC01_VC61,HC01_VC69,HC01_VC75,HC01_VC84,HC01_VC99,HC01_VC104,HC01_VC117,HC01_VC128,HC01_VC138,HC01_VC144,HC01_VC156,HC01_VC167,HC01_VC183
21059,37582,36846,40218,938,2108,1047,24668,64744,7644,13704,95650,96711,1848,2289,1848,87388,27409
21061,4819,4997,4979,80,120,84,2850,8232,933,2502,12087,12141,187,191,187,11096,2553
21063,2508,3667,2809,118,97,89,1445,5401,458,1764,7712,7774,26,26,26,7192,3445
21065,5801,5830,6082,118,351,197,3136,10297,963,3743,14507,14647,12,12,12,13526,4759
21067,122793,118706,124978,4343,4553,2478,87541,191699,18653,32995,292825,296766,25639,27559,25639,245906,43323
21069,5468,5534,5976,205,352,252,3472,9745,1078,2677,14244,14415,56,65,56,12887,3616
21071,15602,15538,16618,466,1297,799,8148,27304,1910,10805,38957,39454,137,152,137,36727,13846
21073,20948,19462,21001,662,941,555,11740,33701,4281,8320,48750,49399,1479,1697,1479,44183,11318
21075,2961,2792,2824,78,166,79,1356,4831,581,1284,6709,6758,60,90,60,6114,1490
21077,3019,3355,3352,109,370,123,2093,5501,614,1471,8398,8513,442,536,442,7483,1433
21079,6239,6641,7074,180,381,264,3967,11785,1156,3421,16715,16892,169,229,169,15654,5002
21081,8674,9302,9662,563,810,474,6567,15701,1731,3528,24150,24683,297,480,297,22173,4547
21083,14699,14283,15323,480,727,307,8905,25197,2721,6109,36749,37200,1417,1620,1417,32357,6502
21085,9945,10192,10496,189,461,246,6280,17431,1842,5178,25612,25772,231,324,231,23635,5516
21087,4480,4482,4741,80,227,91,2507,7947,852,2546,11248,11309,105,110,105,10519,2895
21089,14421,14314,15745,426,1224,716,8249,25908,2948,7169,36566,36922,378,496,378,34230,5485
21091,3255,3388,3376,148,173,109,2130,5752,854,1351,8447,8588,71,99,71,7915,1597
21093,38908,40449,41711,1670,2200,1037,28219,67321,13864,14491,102966,104513,4588,8060,4588,90286,16659
21095,11058,11420,12274,314,805,533,6621,20019,2320,8656,28878,29210,104,185,104,26981,10590
21097,7243,7262,7839,101,395,233,4444,12958,1447,3145,18589,18781,317,376,317,17129,2993
21099,6957,7105,7493,401,703,401,4164,12251,1274,3863,17967,18278,186,325,186,16015,4242
21101,18665,17599,19498,674,1388,919,10341,31596,3239,7918,45654,46254,463,629,463,42160,6727
21103,6018,5985,6303,199,498,279,3663,10490,999,2833,15250,15428,257,293,257,14019,4084
21105,1980,1952,2101,35,128,97,1163,3497,335,919,4827,4869,65,110,65,4546,1279
21107,18556,18211,19538,495,1209,565,10730,32593,3710,7797,46312,46891,536,721,536,42756,11458
21109,5739,5315,5594,127,302,247,2976,9260,790,3702,13357,13475,0,20,0,12615,6129
21111,303915,284364,313663,10244,15001,7739,188116,502301,55788,106256,732191,741285,46852,52023,46852,636384,95622
21113,17960,18365,19899,669,914,493,13562,31042,3175,7357,48003,48591,1587,1888,1587,43357,12874
21115,9329,9231,9748,297,714,541,4906,16200,1270,6186,23095,23339,136,231,136,21703,8273
21117,62260,61726,64718,2567,3213,1617,41732,106148,12162,21243,157585,159926,3972,4679,3972,142130,13988
21119,5855,6623,6876,199,540,400,3830,11239,847,4460,16163,16368,43,130,43,15285,5575
21121,12421,12203,13254,458,808,412,7474,21112,1803,7021,31387,31874,178,249,178,29502,7580
21123,5269,5829,5723,182,361,194,3325,9675,1189,2543,14016,14175,187,277,187,12940,3494
21125,22490,22814,24092,1066,1725,1003,13347,39784,4440,10023,57949,58891,730,914,730,53878,14540
21127,5666,6264,6570,96,213,196,3296,10828,945,3904,15779,15889,52,74,52,14567,5138
21129,2828,3666,2924,63,240,207,1540,5652,448,1990,7772,7831,67,72,67,7380,3605
21131,4317,4537,4726,84,310,205,2495,7872,396,3390,11224,11318,29,33,29,10579,4260
21133,9324,9667,10240,264,969,636,5113,17061,1208,6631,24042,24336,61,133,61,22651,8014
21135,4925,5546,5639,183,345,217,3310,9574,880,2885,13751,13889,44,85,44,12587,4150
21137,9767,9555,10080,335,680,350,5602,16621,1763,4910,24360,24671,41,161,41,22791,11822
21139,3553,3884,3995,143,216,181,1971,6817,634,1935,9426,9479,55,80,55,8803,1572
21141,10899,10400,11028,315,834,539,6109,18222,2066,4428,26456,26786,412,573,412,24148,4818
21143,3278,4129,3243,27,59,7,1176,6644,970,1326,8324,8336,39,51,39,7836,1998
21145,27293,25260,28134,768,1406,758,14969,45985,5668,11932,64812,65558,1357,1671,1357,59753,7641
21147,6287,8167,6688,145,403,326,4172,12408,1101,4419,18027,18204,172,236,172,16546,4296
21149,3699,3722,3972,152,237,134,2279,6557,753,1737,9457,9554,53,89,53,8889,3823
21151,31281,32755,35406,1299,1572,1046,26671,51198,5791,12349,82010,83174,1782,2331,1782,75548,18508
21153,4985,5231,5362,150,255,154,2986,8981,461,3552,13043,13229,0,9,0,12360,5555
21155,7423,8214,7644,313,309,150,4837,13416,1397,2502,19616,19872,424,446,424,17821,4382
21157,12272,12713,13346,318,609,298,6828,22594,2993,4765,31132,31393,423,645,423,29182,5724
21159,4408,5622,5008,115,435,391,2698,8955,624,3579,12870,12934,132,289,132,11779,4731
21161,6728,6603,7366,181,403,223,3976,11821,1224,2802,17352,17495,201,223,201,15615,3479
21163,10253,11149,11262,329,796,408,7624,18579,3396,4256,28638,28979,554,1268,554,25978,5589
21165,2352,2546,2656,57,204,134,1437,4374,409,1640,6272,6331,21,21,21,5853,1895
21167,8486,8099,9086,424,430,188,4956,14753,1721,3952,20986,21283,241,375,241,19550,6010
21169,3947,4024,4104,148,189,94,2226,6928,557,2066,9949,10074,64,86,64,9321,2094
21171,4441,4406,4517,65,244,230,2432,7565,715,2647,10840,10925,202,240,202,10021,2844
21173,10093,10071,10954,420,765,456,6061,17848,1764,4937,26096,26517,294,349,294,24222,7514
21175,4666,6513,4940,162,302,196,2978,9817,588,2671,13756,13898,106,143,106,12766,5301
21177,11974,12896,12931,400,626,399,6842,21930,2241,5410,31032,31399,221,379,221,29193,10220
21179,16548,16521,17601,930,930,604,10558,28821,3375,6703,42879,43500,603,755,603,39424,9817
21181,2731,2761,2936,134,242,131,1530,4907,413,1139,6979,7092,26,31,26,6352,1920
21183,8719,9227,9703,472,529,260,5352,16165,1716,4139,23630,23975,333,433,333,21745,9031
21185,19446,24955,21923,604,709,269,17930,39808,4536,4569,59767,60357,2103,2573,2103,54260,14375
21187,4578,4440,4259,194,259,80,2320,7443,743,1828,10688,10870,164,216,164,10016,3407
21189,1642,1979,1935,70,140,73,1106,3417,204,1369,4704,4764,28,72,28,4540,2341
21191,5477,5895,5985,210,212,79,3720,9832,962,2672,14579,14771,8,36,8,13662,1909
21193,11031,11466,12012,377,777,498,6281,19752,1638,6857,28217,28617,203,263,203,26523,7844
21195,26822,25704,27455,623,1969,1054,14349,45351,3104,18726,64246,64887,542,686,542,60189,12656
21197,4678,5007,5056,239,399,294,2964,8426,713,3349,12408,12638,45,55,45,11641,3737
21199,26375,24878,26350,836,1508,1172,14271,43888,4885,12394,62427,63045,788,970,788,58078,23475
21201,824,903,877,76,90,18,539,1417,142,430,2176,2251,7,7,7,2009,367
21203,6497,6821,7031,206,432,306,3941,11762,1241,3783,16872,17090,7,24,7,16009,7829
21205,8139,9426,10053,423,473,237,8173,13602,1345,3831,22993,23351,256,313,256,21376,7975
21207,7364,7044,7306,187,330,199,3474,12273,1238,3364,17358,17562,362,417,362,16310,4543
21209,17676,17755,18807,542,908,642,13556,30259,3334,5796,46706,47211,1321,1485,1321,41619,11658
21211,15246,15887,17597,693,988,425,10629,28443,3661,5335,41648,42286,2647,2938,2647,36185,10228
21213,6677,6609,7203,226,353,128,4037,11615,970,2502,17184,17323,190,234,190,15763,3026
21215,6234,6850,6737,356,380,283,4247,11551,1260,2192,16909,17135,246,323,246,15870,4938
21217,9490,9465,10498,305,448,249,5817,16085,1553,4270,24224,24514,355,430,355,21956,5779
21219,4689,4710,4956,212,316,170,2976,7949,981,2387,12275,12472,243,289,243,10547,2446
21221,6034,5685,5948,205,362,235,3281,10142,1618,2728,14110,14282,169,383,169,12721,2703
21223,3464,3561,3533,60,103,101,2225,6035,666,1742,8793,8829,143,301,143,7966,2457
21225,5410,6184,5986,202,388,261,3660,9288,1305,2607,14867,14992,156,183,156,13670,3922
21227,43801,44777,47526,1312,1849,899,36376,69306,7841,15710,112476,113787,8401,9398,8401,96319,12177
21229,4541,4650,4822,223,252,143,2941,7806,736,1914,11496,11701,177,235,177,10624,3137
21231,8296,8374,8554,321,749,423,4415,14453,1353,4897,20552,20819,270,293,270,19086,5223
21233,4995,5369,5589,156,523,351,2911,9312,973,2535,13517,13618,265,276,265,12254,3657
21235,13330,13734,14902,442,1413,825,9274,23107,2391,8161,35282,35756,294,390,294,33056,8359
21237,2686,2830,2998,75,167,127,1658,4917,426,1931,7159,7298,22,37,22,6805,3635
21239,9847,9749,10290,338,263,167,6147,17133,2075,3486,24532,24847,1546,1741,1546,21471,4580
39001,10923,11088,11524,448,598,336,6641,19200,1968,5885,28183,28524,79,104,79,25934,4025
39003,40622,42606,42526,1556,1917,956,29097,69341,8448,14570,104702,106079,1683,2284,1683,96387,9376
39005,20266,20749,22248,690,1135,425,13715,35022,4077,6583,52668,53203,963,1158,963,47327,8486
39007,38889,40648,41226,1002,2533,1107,24002,69540,9540,14486,100359,101262,1433,2700,1433,89828,12073
39009,22221,28000,28074,664,936,465,29079,33577,3625,8531,64054,64592,2522,2959,2522,58935,10527
39011,18342,17954,18567,563,769,396,11034,30894,3655,4913,45387,45934,399,549,399,41968,4477
39013,28716,29865,29309,576,1156,458,14641,50769,6318,11402,69649,70182,641,846,641,65125,4408
39015,16289,17464,18228,551,1210,593,10810,30161,3726,7438,44222,44666,159,240,159,40960,5828
39017,134945,141128,150340,5269,8267,3938,105682,234703,26440,41806,363217,368029,18496,20695,18496,320178,45029
39019,11424,11717,11836,457,473,196,6336,20306,2305,4108,28500,28828,197,325,197,26325,3521
39021,15240,15728,16137,580,827,450,10117,26740,3452,5306,39571,39982,373,520,373,36698,5646
39023,54959,53151,58322,1684,2914,1465,35306,93192,14697,22187,136686,138278,3099,3871,3099,124655,18807
39025,73859,75830,79774,2518,3690,1469,50353,131329,14692,23449,195071,197543,4782,5657,4782,177374,38527
39027,16018,16247,17454,721,729,410,10972,27634,3750,6331,41562,42161,530,832,530,38874,5157
39029,42476,44188,44356,1456,2069,912,23722,76010,10099,16294,106218,107598,1239,1598,1239,99316,12523
39031,14516,14428,15154,440,709,318,8131,25101,3672,4841,36477,36880,110,288,110,32693,3580
39033,17664,16968,18422,454,622,262,9879,30291,4012,6352,43268,43623,317,497,317,40451,5391
39035,534899,487691,556064,15488,22899,10740,331304,876191,90753,179139,1264395,1278024,89806,108542,89806,1067639,35686
39037,20856,20396,21577,706,803,484,12514,35735,3833,6492,52241,52776,477,628,477,48544,6843
39039,15302,15214,15923,452,667,340,9966,26030,3304,5017,38546,38975,613,823,613,34524,2994
39041,63376,64387,67714,2277,1834,588,51142,113076,10409,11836,172249,174454,10020,11366,10020,149911,12494
39043,31712,30738,32511,761,1828,884,17859,54209,7358,11759,76152,76952,1200,1624,1200,70417,3762
39045,54302,56465,58528,1682,2806,1299,40226,96539,12044,17577,144568,146138,3666,4404,3666,131689,13449
39047,11474,11259,11815,480,618,294,6561,19512,2314,4689,28444,28931,390,491,390,26227,3975
39049,464018,448795,484055,0,21518,9310,333161,751700,71627,131776,1151158,1167484,107159,117249,107159,957463,65024
39051,16358,16312,17461,631,678,354,11051,28531,3029,4332,42154,42635,826,1047,826,38361,2639
39053,11885,11928,12840,337,691,311,7575,20784,2358,5483,30619,30877,295,403,295,28306,4225
39055,34624,36054,38281,1036,1166,287,23815,63085,6484,8931,92556,93485,2871,3413,2871,77830,4445
39057,62681,64594,68894,2122,2745,1327,51699,103251,18266,17986,160131,161936,6911,8966,6911,143730,29798
39059,15808,15748,16601,473,564,391,9269,27327,3452,6254,39580,40056,363,446,363,36459,3684
39061,326023,305449,339824,11830,14246,7670,219318,528988,54653,95929,790989,801350,38504,42635,38504,697834,52911
39063,30342,29144,31582,1224,873,370,19649,49753,5820,8044,74031,75043,2018,2249,2018,67181,7880
39065,11822,12572,13222,673,580,298,9553,19500,2254,4523,31492,31986,384,519,384,28696,4565
39067,6324,6312,6607,210,229,176,3241,11245,1535,2557,15599,15818,45,81,45,14525,1248
39069,11151,11061,11427,481,371,170,7195,19028,2296,3491,27794,28246,486,585,486,25451,2198
39071,16969,16665,17724,495,1136,545,10557,28998,3513,7293,43021,43454,174,313,174,39830,6540
39073,11562,11813,11905,399,504,210,7145,20147,2875,4618,29033,29372,226,326,226,27175,4362
39075,12183,15075,15261,586,786,269,9576,23815,1632,3053,41938,42501,278,489,278,20218,4074
39077,22673,22767,24007,891,1175,423,15270,39481,4718,7864,58852,59628,1862,2106,1862,52394,5534
39079,13411,12696,13740,525,743,380,7840,22282,2993,6546,32697,33134,186,334,186,29625,4259
39081,28608,27600,30536,724,1305,845,16030,48878,7002,11131,68745,69343,778,1091,778,64165,3564
39083,22483,23505,25271,795,877,392,16064,39027,4565,8627,60057,60791,822,1031,822,54314,6253
39085,94389,90889,97664,2076,3124,1096,55891,161884,19017,25548,227887,229873,12610,13848,12610,200950,10498
39087,23990,24106,26326,604,1764,812,14682,42847,5542,12556,61852,62441,211,386,211,57996,7650
39089,63781,63913,68419,2175,3307,1571,44247,110671,14978,22397,164225,166135,2875,3778,2875,150586,17534
39091,18050,17738,18679,699,616,202,10902,30793,3598,6677,45236,45816,539,730,539,41236,6557
39093,116391,117966,124420,3369,6405,2713,79702,203893,24278,40652,298133,301108,8557,14661,8557,260699,17014
39095,178615,169494,184995,5976,8354,4046,123459,287978,30444,65205,435955,441198,15454,17596,15454,386719,18342
39097,14779,19769,15640,421,746,344,10445,29928,3611,5252,42724,43213,868,1023,868,39240,6686
39099,98460,94215,102767,2549,4665,2222,58657,167130,20743,35405,236217,238352,7399,9863,7399,210710,13310
39101,24736,28985,25584,747,1489,671,14987,46002,5550,10440,65777,66514,864,1128,864,60670,8364
39103,65272,66565,70120,2065,2529,835,45991,117036,13102,16686,170499,172334,5491,6375,5491,153681,10933
39105,9598,9488,9751,225,559,354,5280,16486,2127,4563,23440,23664,74,110,74,22151,3159
39107,15715,15945,16175,735,573,310,10166,27003,3369,4561,40198,40866,467,606,467,37069,4055
39109,41225,40119,42268,972,1962,1004,24777,70304,8892,12709,101659,102657,1796,2308,1796,93723,10754
39111,6071,6062,6076,181,177,105,3077,10543,1460,2356,14514,14679,35,40,35,13619,1313
39113,222892,205566,228709,6944,9757,5082,150831,361374,47065,79174,529039,535626,19913,24249,19913,474269,46589
39115,6271,6001,6246,172,371,241,3399,10482,1405,2342,14906,15042,50,94,50,13962,1352
39117,13035,13673,14070,701,897,406,8628,23410,2983,4571,34324,34895,239,315,239,31439,4728
39119,33986,32935,36231,1166,1488,594,21837,57461,6939,13229,84909,85996,815,1032,815,78714,9337
39121,4804,7347,5052,72,369,120,2705,10724,1563,2190,14498,14643,63,102,63,13563,1454
39123,17688,16984,17573,457,535,248,8853,30188,3829,5654,40950,41445,654,770,654,37920,2559
39125,7700,7646,7892,332,360,201,4790,13217,1523,2955,19251,19522,222,295,222,17592,2182
39127,13688,14082,14427,461,891,424,9353,23845,2703,5662,35674,36086,164,328,164,33234,3692
39129,19196,23900,21313,824,1338,687,13950,37589,4381,8009,55105,55795,429,776,429,51837,9333
39131,10730,11251,11579,301,1134,467,6779,19171,2333,5942,28352,28652,207,301,207,26191,3908
39133,61016,64982,69202,1777,2895,1630,48642,102314,12407,19076,159440,161178,4569,5493,4569,146848,8673
39135,16396,16542,17354,372,869,301,10612,28785,3758,6478,41931,42240,493,583,493,38862,5016
39137,13083,13351,13598,498,471,217,9047,22685,1990,3340,34060,34445,379,397,379,30909,2781
39139,48636,51273,50253,1388,2129,1227,29488,86140,11432,15798,123083,124286,2027,2534,2027,113325,10682
39141,27966,33600,29800,946,1946,1002,18765,54190,7493,12471,76822,77741,606,1217,606,70793,9621
39143,23905,23739,24944,848,981,505,15102,41403,5098,7861,60102,60842,1491,1687,1491,53882,5037
39145,29570,31577,32763,997,2859,1877,19377,53442,6445,16528,78345,79122,784,966,784,73000,9880
39147,21891,22612,23072,517,784,396,15196,37314,4878,7834,56102,56630,798,968,798,51583,4772
39149,18287,18814,19559,537,775,351,13535,32224,3532,5854,48826,49359,961,1140,961,44932,5371
39151,150299,145997,159631,4781,6743,3260,96820,256855,32326,50205,371208,375593,6931,8325,6931,341209,30481
39153,221296,210824,230606,6612,9391,4163,141955,369270,42308,66755,536126,541788,23130,26503,23130,480721,27211
39155,86760,82762,89554,2148,4045,1846,47464,146886,19558,29642,208037,209942,3330,4158,3330,188367,37590
39157,36298,36285,38344,1010,1544,518,21146,63469,8086,11164,91549,92532,1189,1532,1189,82336,7381
39159,18113,18826,21648,838,653,276,13734,34332,3390,4902,51544,52153,1456,1665,1456,46778,7760
39161,11296,11078,11965,294,345,111,7326,19468,2271,4007,28554,28808,353,425,353,26248,3036
39163,5313,5402,5363,307,347,195,3334,9017,961,2381,13195,13397,28,39,28,12395,2220
39165,75875,82286,82390,2852,3162,1384,60080,140517,15327,18811,210742,213146,11203,12639,11203,184562,26484
39167,24975,24709,26583,686,1227,612,14767,43313,5336,11424,61188,61751,696,882,696,57402,7423
39169,42354,44235,46356,1556,1943,789,28814,74123,8144,13330,113287,114644,1846,2239,1846,95507,14781
39171,15033,15118,15367,515,1060,485,8940,25983,3098,4718,37315,37779,545,668,545,34413,2772
39173,48789,50246,53907,1425,1752,905,42405,77783,8668,11996,124996,126254,4167,4858,4167,113736,7160
39175,9281,8835,9280,314,366,160,5635,15499,1664,3049,22336,22626,227,297,227,20463,2681
42001,38291,40697,42563,1269,2211,1096,25204,68993,9297,13155,100325,101352,4066,5026,4066,89702,10769
42003,524392,486303,541915,14215,16302,7068,299425,861245,97433,157215,1212293,1224772,58478,66488,58478,1082437,43660
42005,28724,28338,29233,650,911,427,13867,49955,6624,13282,68305,68942,528,696,528,64000,4288
42007,70715,67891,74514,1922,2505,1003,37135,122450,15939,26418,169181,170614,3137,4093,3137,155587,6888
42009,20159,20260,20713,574,603,354,10161,35450,4490,8256,49206,49680,387,564,387,45638,5518
42011,153977,160809,170535,5302,8035,2992,107213,272363,30597,52021,406439,411094,27675,42938,27675,321862,18916
42013,51490,50433,54658,1382,2044,985,27376,88601,13032,19195,125857,127133,1474,1887,1474,116232,8195
42015,24445,24903,26162,719,1382,530,13473,43767,6060,8702,61994,62628,992,1237,992,57029,4657
42017,229933,247688,262391,6618,11986,2945,156913,434853,42816,63843,619390,625485,50708,57283,50708,528258,29291
42019,72867,73551,77072,2158,1978,994,47445,125894,15510,21281,182007,183946,3639,4478,3639,168353,8946
42021,58502,59096,61309,1328,1899,937,32337,101713,14486,23495,142059,143305,1774,2306,1774,131503,6600
42023,2184,2129,2200,29,102,62,926,3779,598,1037,5008,5058,44,71,44,4795,622
42025,26256,26568,27526,753,1444,462,13892,46966,6740,10902,64417,65101,1858,2417,1858,58609,4188
42027,56526,69429,64255,1353,996,391,61242,84977,9800,13597,152520,153758,10660,12013,10660,133406,8685
42029,183793,193788,204673,6636,7120,1687,136864,331731,32653,35853,493710,499548,43698,49267,43698,413012,21983
42031,15638,16176,17508,481,468,214,10472,25845,3310,6058,39531,39991,419,584,419,36696,2548
42033,32435,34992,33591,919,961,478,16297,58832,8022,11591,80886,81668,1453,2046,1453,74582,14972
42035,15286,15804,16812,320,582,313,11122,25172,3623,5854,38892,39261,590,782,590,35205,2702
42037,26012,26830,30157,816,970,499,18957,43750,5426,7600,66218,66984,1532,1981,1532,61589,3692
42039,35232,34895,37543,1080,1088,512,20905,60025,8066,14116,87589,88492,1030,1452,1030,78710,5273
42041,94776,95288,100250,2407,2466,1063,59231,161652,21209,25941,233137,235314,12115,14872,12115,205404,15856
42043,107996,103777,113664,3938,5588,2386,65107,183216,22028,32363,264571,267891,15697,21061,15697,224533,11722
42045,206021,214406,239271,7486,11252,3950,157467,370252,36629,59890,551897,558874,49734,54665,49734,466443,14915
42047,13631,13227,13512,201,498,190,6692,23399,3031,4942,31742,31981,306,384,306,29979,1866
42049,109006,111003,117418,3204,5182,2035,73686,184247,22450,41586,276986,280181,11311,13848,11311,246333,12456
42051,54730,55915,58642,1347,2932,1396,27669,98665,12507,26432,135836,136914,1290,1874,1290,126648,7507
42053,1958,4767,2202,57,132,43,1149,5808,911,1537,7631,7664,90,218,90,7139,279
42055,58044,58195,61880,1972,1911,703,33250,102003,13296,16847,147869,149554,5252,6659,5252,129702,16089
42057,5973,6004,6003,177,270,133,3172,10371,1218,2184,14682,14829,98,145,98,13760,1892
42059,14119,16629,15779,500,657,229,8055,27093,3734,6184,38207,38614,297,487,297,35424,2585
42061,16882,20644,17887,529,804,367,9435,32410,4062,6873,45510,45931,446,738,446,42050,3260
42063,34483,37032,38005,918,1155,425,24748,56196,7269,11679,87815,88648,1554,1929,1554,79851,4179
42065,18313,18213,18928,468,679,242,9192,31673,3741,7050,44570,45051,261,453,261,41073,3784
42067,9266,9788,10002,258,298,165,5231,16940,1650,3518,24433,24664,426,637,426,21736,2549
42069,86155,84734,93901,2102,3500,1095,52055,149161,18964,30734,212395,214353,9890,12767,9890,186290,7073
42071,193306,199672,213896,7782,7794,2775,127161,340482,35058,54883,512624,519913,22730,36840,22730,409601,41753
42073,36712,35852,39422,823,1716,757,20309,64104,7911,12964,90119,90885,1298,1588,1298,82325,3933
42075,52144,52164,56016,1721,1880,760,30705,91558,11390,15193,131903,133578,4854,9538,4854,112570,9617
42077,133302,135206,147532,4758,7560,2634,87405,236776,24799,45002,346328,350165,34555,50232,34555,257140,12154
42079,131000,130162,138257,3570,6043,2474,73452,226173,29519,48205,317354,320555,15242,18426,15242,279584,11470
42081,46476,46922,49694,1560,2290,1122,27657,79504,11100,16629,115273,116447,1671,2284,1671,106404,8794
42083,17394,18329,17690,695,764,354,9969,30294,4421,7039,42852,43451,543,880,543,39872,2773
42085,46389,47017,49520,1229,1741,777,26988,80211,10987,18006,115450,116474,1646,2223,1646,105167,5962
42087,18952,18218,19529,495,773,329,9105,32450,4040,8009,46297,46694,264,465,264,39461,5150
42089,59299,67508,70369,1974,4645,1811,47582,111695,14358,22128,167689,169346,16481,19746,16481,137878,5729
42091,308083,311871,338848,9005,12840,3130,206481,555266,52984,71059,791410,799886,77064,84809,77064,659524,30510
42093,7268,7058,8080,222,222,72,3942,13014,1573,2364,18034,18243,633,933,633,15998,1095
42095,112242,118675,126384,3550,6017,1901,76647,203280,23268,36432,294315,297519,19591,27492,19591,247275,16740
42097,39220,39489,39436,1002,1328,525,18355,67952,9728,14530,93513,94441,1164,1931,1164,85635,6914
42099,18160,18587,18680,625,831,390,9532,31611,4247,6254,45275,45791,486,814,486,41231,4164
42101,580509,574210,666550,22220,42870,16895,425140,982024,77456,240794,1506711,1525811,179331,234386,179331,1122166,28161
42103,21980,23286,23833,560,1526,406,14246,40075,5349,8629,56987,57437,3852,4945,3852,48992,1159
42105,7057,7107,7234,182,359,197,3725,12326,1794,3195,17321,17466,205,273,205,16211,1758
42107,60121,62744,61142,1786,2308,905,29637,107544,14761,24224,146359,147935,2627,3468,2627,133970,6869
42109,14355,15805,16580,602,666,326,10013,25777,2774,4683,39114,39620,555,859,555,34429,3553
42111,29992,33774,31703,743,1016,386,15017,56791,7075,12565,77007,77638,560,947,560,71265,5322
42113,2376,2910,2724,39,181,49,1029,4822,741,1262,6393,6453,98,143,98,6008,386
42115,17139,17982,17896,321,843,337,9016,30939,4261,7498,42856,43171,627,829,627,40082,1968
42117,17098,17158,17951,564,809,426,9878,28748,4385,6120,41608,42081,490,618,490,38965,5090
42119,15303,21238,17034,375,336,116,11883,30512,3409,4799,44598,44944,1826,2440,1826,38324,3189
42121,22525,22048,23300,541,920,462,11532,38968,5454,9231,54357,54865,418,697,418,50892,3845
42123,17453,17128,17616,398,734,322,8364,30118,4449,6768,41226,41613,485,704,485,38392,2372
42125,84123,83333,89869,2179,3187,1326,48491,146709,18882,30179,206057,207916,3264,4213,3264,191073,7727
42127,19216,23430,20970,392,1104,312,10373,38610,5377,8247,51955,52299,1840,2531,1840,46907,4407
42129,153064,148013,158785,3229,4360,1820,79768,264595,34900,51844,361875,364877,5385,6971,5385,336304,16452
42131,11037,11587,11781,329,398,122,6395,19636,2535,4396,27938,28221,365,479,365,25951,1777
42133,168128,171561,179747,4718,7946,3062,104339,296861,35659,51894,430028,434579,15119,23373,15119,381027,34959
